Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,Attack#01,Attack#02
2020-07-16 10:46:03.043749,0.32128829999999997,0.4095259361761401,0.6610675517667737,0,0,0,0,0,0,0,0,2.3018680307885203e-05,1,0,0,0.0,0,0.0,0,0,0,2.3018680307885203e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:03.468760,0.32128829999999997,0.40898857701587676,0.6610675517667737,0,0,0,0,0,0,0,0,2.291589535504419e-05,1,0,0,0.0,0,0.0,0,0,0,2.291589535504419e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:03.814093,0.32128829999999997,0.40845361731705987,0.6610675517667737,0,0,0,0,0,0,0,0,2.268120474346566e-05,1,0,0,0.0,0,0.0,0,0,0,2.268120474346566e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:04.242359,0.32128829999999997,0.40792413634892055,0.6610675517667737,0,0,0,0,0,0,0,0,2.2289154621379437e-05,1,0,0,0.0,0,0.0,0,0,0,2.2289154621379437e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:04.585829,0.32128829999999997,0.40740380758766603,0.6610675517667737,0,0,0,0,0,0,0,0,2.1975080171841495e-05,1,0,0,0.0,0,0.0,0,0,0,2.1975080171841495e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:04.887270,0.32128829999999997,0.406890810731638,0.6610675517667737,0,0,0,0,0,0,0,0,2.1735378361545658e-05,1,0,0,0.0,0,0.0,0,0,0,2.173537836154566e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:05.325625,0.32128829999999997,0.4063834095901244,0.6610675517667737,0,0,0,0,0,0,0,0,2.1720984022439428e-05,1,0,0,0.0,0,0.0,0,0,0,2.1720984022439428e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:05.715781,0.32128829999999997,0.40587634447699594,0.6610675517667737,0,0,0,0,0,0,0,0,2.1621284262007845e-05,1,0,0,0.0,0,0.0,0,0,0,2.1621284262007845e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:06.146867,0.32128829999999997,0.40537160680309636,0.6610675517667737,0,0,0,0,0,0,0,0,2.161101667871406e-05,1,0,0,0.0,0,0.0,0,0,0,2.1611016678714064e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:06.471540,0.32128829999999997,0.4048671088206066,0.6610675517667737,0,0,0,0,0,0,0,0,2.159818069162707e-05,1,0,0,0.0,0,0.0,0,0,0,2.159818069162707e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
